Measurement Title,Measurement Description,Measurement Type,Measurement Medium,Measurement Time,Measurement Value,Units,Units Abbreviation,Measurement Period Type,Data Stream ID,Resource ID,Measurement ID,Record ID,Latitude,Longitude,Location
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/25/2018 07:00:00 PM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518775999999999999,332652518775999999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale NWS Quantitative Precipitation Forecast,,TimeWindowBoundary,NA,04/25/2018 01:00:00 PM,0,universal coordinated time,UTC,Instantaneous,33265,65142,2518776215999999999,332652518776215999999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: SM1 Soil Moisture Sensor,SM1 Soil Moisture Sensor,SoilMoisture,Soil,04/25/2018 12:18:12 PM,941,millivolts,mV,Instantaneous,33303,65513,2518776241079999999,333032518776241079999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: TM1 Temp Sensor,TM1 Temp Sensor,Temperature,Atmosphere,04/25/2018 12:18:12 PM,408,millivolts,mV,Instantaneous,33305,65515,2518776241079999999,333052518776241079999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: SM1 Soil Moisture Sensor,SM1 Soil Moisture Sensor,SoilMoisture,Soil,04/25/2018 12:17:09 PM,988,millivolts,mV,Instantaneous,33303,65513,2518776241709999999,333032518776241709999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: TM1 Temp Sensor,TM1 Temp Sensor,Temperature,Atmosphere,04/25/2018 12:17:09 PM,494,millivolts,mV,Instantaneous,33305,65515,2518776241709999999,333052518776241709999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: SM1 Soil Moisture Sensor,SM1 Soil Moisture Sensor,SoilMoisture,Soil,04/25/2018 12:16:05 PM,988,millivolts,mV,Instantaneous,33303,65513,2518776242349999999,333032518776242349999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: TM1 Temp Sensor,TM1 Temp Sensor,Temperature,Atmosphere,04/25/2018 12:16:05 PM,503,millivolts,mV,Instantaneous,33305,65515,2518776242349999999,333052518776242349999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: SM1 Soil Moisture Sensor,SM1 Soil Moisture Sensor,SoilMoisture,Soil,04/25/2018 12:15:02 PM,988,millivolts,mV,Instantaneous,33303,65513,2518776242979999999,333032518776242979999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: TM1 Temp Sensor,TM1 Temp Sensor,Temperature,Atmosphere,04/25/2018 12:15:02 PM,469,millivolts,mV,Instantaneous,33305,65515,2518776242979999999,333052518776242979999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: SM1 Soil Moisture Sensor,SM1 Soil Moisture Sensor,SoilMoisture,Soil,04/25/2018 12:14:00 PM,990,millivolts,mV,Instantaneous,33303,65513,2518776243599999999,333032518776243599999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: TM1 Temp Sensor,TM1 Temp Sensor,Temperature,Atmosphere,04/25/2018 12:14:00 PM,523,millivolts,mV,Instantaneous,33305,65515,2518776243599999999,333052518776243599999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: SM1 Soil Moisture Sensor,SM1 Soil Moisture Sensor,SoilMoisture,Soil,04/25/2018 12:12:58 PM,988,millivolts,mV,Instantaneous,33303,65513,2518776244219999999,333032518776244219999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: TM1 Temp Sensor,TM1 Temp Sensor,Temperature,Atmosphere,04/25/2018 12:12:58 PM,442,millivolts,mV,Instantaneous,33305,65515,2518776244219999999,333052518776244219999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: SM1 Soil Moisture Sensor,SM1 Soil Moisture Sensor,SoilMoisture,Soil,04/25/2018 12:11:54 PM,988,millivolts,mV,Instantaneous,33303,65513,2518776244859999999,333032518776244859999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: TM1 Temp Sensor,TM1 Temp Sensor,Temperature,Atmosphere,04/25/2018 12:11:54 PM,532,millivolts,mV,Instantaneous,33305,65515,2518776244859999999,333052518776244859999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: SM1 Soil Moisture Sensor,SM1 Soil Moisture Sensor,SoilMoisture,Soil,04/25/2018 12:10:51 PM,988,millivolts,mV,Instantaneous,33303,65513,2518776245489999999,333032518776245489999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: TM1 Temp Sensor,TM1 Temp Sensor,Temperature,Atmosphere,04/25/2018 12:10:51 PM,498,millivolts,mV,Instantaneous,33305,65515,2518776245489999999,333052518776245489999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
UI Labs Bioswale - Thunder 1: SM1 Soil Moisture Sensor,SM1 Soil Moisture Sensor,SoilMoisture,Soil,04/25/2018 12:09:48 PM,988,millivolts,mV,Instantaneous,33303,65513,2518776246119999999,333032518776246119999999,41.90715,-87.653996,POINT (-87.653996 41.90715)
